,TP,assignee_id
153,3.0,org_6biuwG7e5kJsaLlVmlOc
154,6.0,org_kRVRD3X9NKNvilKCvoS1
155,10.0,org_CZXNL5Pgkv4sMRzhifVJ
156,1.0,org_6Pr2hxogmVeAeCLAVo5R
157,32.0,org_3PV5kjTOn6a7UfmPzJT8
158,2.0,org_jzdZ89htWClBo29PJOq5
159,41.0,org_OxeNXdI6KIOyYwh0ygv7
160,44.0,org_FnaIXS0ZPzqFIGkFBTnb
161,26.0,org_DrV60e063dTUPjPh9WFp
162,2.0,org_eHgazy90TAqWchhYfNAl
163,2.0,org_vjf5GX1DOtYTqvJzd1xE
164,1.0,org_J3XMWOF47eCsX0tCkGEQ
165,1.0,org_MSRkX47KFqsyNDnABZEA
166,19.0,org_xJGtqurVE3ZO8VFqdhkf
167,71.0,org_3zGvFOoe2XYmIyAOOLJ4
168,16.0,org_J2mviIoWD3q59ple7tLp
169,11.0,org_6zdFTvBHMDmSWSHrLEUR
170,1.0,org_wwBpzd37086baS72xj1H
171,35.0,org_bQDyYtloS3hgidsveTnd
172,330.0,org_E3dkJE6ZtUg2lUw01bIC
173,8.0,org_O4MyBWu7dIcBebQaIC6e
174,24.0,org_XEgRdSstInN29dHsrlKL
175,1.0,org_GyHR86cqJ4baW0jYa0W6
176,6.0,org_KhVvnrsO3LQXJWXUaCnE
177,48.0,org_1k1WP25kX5HGUNO2gg7m
178,167.0,org_PCMY4fsZByVwaAE81xp0
179,1.0,org_wVMiAVnJ6jXrS05Nqbah
180,31.0,org_sT4XEvYsCFEJyeX5cVH7
181,5.0,org_PAWHr3RksFGIKHBKIy2M
182,11.0,org_bdqM9xqMGjPyo6H8toHT
183,39.0,org_nPPSjL5S4c5FPLvy2csb
184,10.0,org_9g4ul1yFL2V7zrnOoKFZ
185,26.0,org_NVZ3BwcNB3rK1Q23vsQm
186,1.0,org_pDJgwxxtWI716clYb7IE
187,3.0,org_a7hTykC4ALbaCgrIksLl
188,30.0,org_RgH0nAS4SM4NtmWRqLvT
189,153.0,org_8yzpdM1iLFgRB27dWLfh
190,21.0,org_vwPhyP3568bCi2c8HfIl
191,25.0,org_V4R91xrlwy23qodJo7K2
192,15.0,org_XrHTv3vNEL4MDavPjBUV
193,7.0,org_913D21kOaCl1L1wGOljc
194,1.0,org_oTDgWkzWE7zAizK2Kssd
195,67.0,org_jvQNBEP9caK3SfvUnguA
196,10.0,org_YTBMGTnyGypoVR8Ouees
197,1.0,org_dgSdXLMFUSzolJa6t62Y
198,3.0,org_zg0Swctf5bmn09O5xly7
199,1.0,org_a5eQ1cf5BVNbwnKIm9GL
200,72.0,org_4tzZdnIrMGOFN1I3Ryiw
201,4.0,org_bOJASqb9tBeJChcdz4Bn
202,2.0,org_UMVIFKBsiHDZoS63N1EO
203,2.0,org_4irmJDajx0nwvcOWvvQT
204,39.0,org_2sTTxgrhzuDe8J7vSLjk
205,69.0,org_UlIXjLHTH0oyf5ZtXONX
206,1.0,org_qONcOL2vbHTT0NJKWtP1
207,48.0,org_Qu12yohuKcnQXPVgGmlo
208,16.0,org_KZC7ktGGNwe8dcjIcgsg
209,1.0,org_tnB2KJr3BC4EF7kDAS5j
210,104.0,org_NF57C24HxLPYGBXFvLIz
211,32.0,org_V2CCX2LEjgpk9FjeoKOk
212,6.0,org_IZIfXuPl0XMqcvGKPjZj
213,21.0,org_mO0wJ0YGImqpK6tNobIq
214,67.0,org_KHg8gvubsdQdgAfqULT8
215,6.0,org_lhDJbIxN4YRxI0AJv4a8
216,15.0,org_URJ5bCgypkGvO1TDh0aR
217,230.0,org_XPIyaEY1w74yDspodF6F
218,10.0,org_4QywW9HjRAYl1bpjwnqE
219,21.0,org_ceQg5fWG6RzaKXkcMP0U
220,13.0,org_Gtzc3E2kYqxG0F6b1KfR
221,1.0,org_3hgouc2zRo1nzgVA4qWj
222,182.0,org_nOka1WjHJ1OBNoQIal7G
223,2.0,org_VAdDv2CcwRXfk83TMzGU
224,3.0,org_y3eFWgOF0uoLfJeTakO7
225,13.0,org_b0JvIlfJp4p1rzgIq8Tn
226,4.0,org_SRu6gUqgK1SGEJJRrMPB
227,27.0,org_c8DSpVhiVMZGf3DvezVe
228,164.0,org_napN6gMDysrbJO8nb2rJ
229,40.0,org_3KWpcgCp7VCSfiDHw7mw
230,5.0,org_o6lNPOjSnahdtwenMcvM
231,1.0,per_NF1rGKNErl8oaJSZ3bmo
232,4.0,org_ylvrm2LuT6XbQ8v03Z9e
233,2.0,org_bbp3IjUPQgJuTfTJj092
234,13.0,org_atQYRViCR3NTQDCsL8Ig
235,1.0,org_fwmncqwmoIRTJ0O3R6D0
236,3.0,org_ifbfkrbXpDP4ynbv3itU
237,8.0,org_4WrumB73jSH8jmvSLrVE
238,7.0,org_zgntxPYXsel298HyEb5y
239,6.0,org_pekm0XwpjmFYqZRxvvSL
240,20.0,org_w0dCAdQC9mCI92Dxh8ww
241,27.0,org_ThDlSHAQtX4w7e3agTdT
242,133.0,org_dhlBGMMnEagcQjychPWa
243,5.0,org_RjXPs3ujYsItbWEMqIVZ
244,4.0,org_91Jv5HpqRMieNgnFLwWN
245,136.0,org_jPIcJwP5Q5WkKxlo1mjD
